epoch,train_loss,train_acc,train_precision,train_recall,train_f1,test_loss,test_acc,test_precision,test_recall,test_f1
1,2.292964164098104,0.16406666666666667,0.19422848156707043,0.15916371822342473,0.12107009758603608,2.2788755947027726,0.3086,0.24098975328650596,0.2909078797920007,0.21927680701977711
2,2.2553661557515463,0.39536666666666664,0.573624846380856,0.38022785892670286,0.31789992752755214,2.218233354556294,0.5363,0.5990381473848106,0.5218465063566098,0.48112854522336435
3,2.1176026039759317,0.6047333333333333,0.5974669702990657,0.5924874106012302,0.5608972617542063,1.9409341652172443,0.6273,0.619224904460485,0.6155608712226781,0.5891240108712019
4,1.6240739841461183,0.6294,0.7087891062161995,0.6180459206883185,0.5873814166809027,1.2954718133512015,0.6846,0.731195569493518,0.6736547219943124,0.6414018168841136
5,1.0893284236272176,0.7194833333333334,0.7422599764577005,0.7100835183444957,0.6888493104367871,0.9086889005697574,0.7718,0.7814621435256018,0.7643389619485571,0.7539520384743273
6,0.8171656187216441,0.7901666666666667,0.7957431184331651,0.7840327246181659,0.7794245577075671,0.7180119037818604,0.82,0.8218452193491986,0.8153320835676764,0.8131380641099735
7,0.6707328252633412,0.8239,0.8250060280871793,0.8197080599704056,0.8188377142487822,0.6044615626144714,0.844,0.8441645801122138,0.8406195718990762,0.8401852913774265
8,0.5785155637900035,0.8458333333333333,0.8452720997036861,0.8425962845790769,0.8424159490718882,0.5291059025750754,0.8618,0.8609652710367668,0.8593329792206429,0.8590903785030213
9,0.5152382011493047,0.8610833333333333,0.8601228894130996,0.8584901939115559,0.858457962035077,0.4751660824298097,0.8721,0.8709032112810021,0.8699284780413061,0.8697801420053292
10,0.4693474805831909,0.8725166666666667,0.8713092907822999,0.8703035952087779,0.870276108513344,0.4352357270428167,0.8815,0.880168871759629,0.8795870914703091,0.8794120274095215
