epoch,train_loss,train_acc,train_precision,train_recall,train_f1,test_loss,test_acc,test_precision,test_recall,test_f1
1,0.1679473691454002,0.9508,0.950507310212392,0.950427008869133,0.95043592778873,0.08146861010675911,0.9786,0.9785756719679395,0.9783717011544241,0.9782949410087222
2,0.08248245446835305,0.9783333333333334,0.9781866390303195,0.9782102180500709,0.9781964408929591,0.0706448797483083,0.9799,0.980112282770943,0.979930902389823,0.9798761476365456
3,0.07628760556426908,0.9800666666666666,0.9799302463068058,0.979937237623749,0.9799327394886926,0.06167880259108323,0.9828,0.982763963558722,0.9825776770675505,0.9826143715594127
4,0.07430747916598872,0.9821833333333333,0.9820703683073961,0.9820703409247293,0.9820677536136142,0.08869026614360127,0.9765,0.9763608660044802,0.9764050633523876,0.9762915810025741
5,0.06706567854175567,0.9836666666666667,0.9835587068454072,0.9835416400646505,0.9835480739600435,0.06927109628961176,0.9826,0.9825560310882467,0.9824882661067917,0.9824871511252976
6,0.06032171272517359,0.9854,0.9853129784212016,0.9853309986796767,0.9853200123226312,0.06609591077697735,0.9854,0.9852630633988275,0.9853597864877874,0.9852632927984232
7,0.06075759634140737,0.9856333333333334,0.9855163348364867,0.9855394968492558,0.9855271435371102,0.05815071254345967,0.9854,0.9853120390921871,0.9852960179467392,0.9852755444092388
8,0.06338513879208052,0.9856,0.9854970961132002,0.9854838451493408,0.9854892975116927,0.07450368086650148,0.9813,0.9813796348272206,0.9812668637339573,0.9812720538414886
9,0.060473404656553736,0.9858,0.9856957662250257,0.9856995157271655,0.9856934597876151,0.07404664161796577,0.983,0.9829385449927658,0.9830646635460949,0.9828453528971639
10,0.05725258093289588,0.9874166666666667,0.9873181477259827,0.9873273558246061,0.9873214825142202,0.0886865886292422,0.9857,0.9856389873172564,0.9854890016417599,0.9855248901208828
