epoch,train_loss,train_acc,train_precision,train_recall,train_f1,test_loss,test_acc,test_precision,test_recall,test_f1
1,0.2695381599150598,0.9186166666666666,0.9177714867178182,0.9177690075376337,0.91774699416362,0.16770972248565513,0.9509,0.9510455581889687,0.9502894928068557,0.9502948956155699
2,0.1915152767476936,0.9436833333333333,0.9432676442385057,0.9433187702243655,0.9432855744768507,0.18016061245779189,0.9471,0.9471919966125549,0.9467750233254835,0.9467418423092097
3,0.19296646153057614,0.9438833333333333,0.9435013255176681,0.9435115196025159,0.9435007243478533,0.1592385752573639,0.9521,0.9517040305682913,0.9518743756499038,0.9517328358058583
4,0.18940039908215403,0.9436333333333333,0.9433313763728102,0.9432535955761183,0.9432887361188502,0.17538880951071795,0.948,0.9485616561679576,0.9477919392079889,0.9476478982233951
5,0.17486358650860687,0.9496166666666667,0.9492916886966946,0.9493079214202623,0.9492967691724754,0.15985802245198394,0.9527,0.9524946148170199,0.9525335960665201,0.9521542740935699
6,0.1775176548808813,0.9481833333333334,0.9478160016621858,0.9478391986630912,0.9478243705115771,0.19359981673308455,0.9434,0.9435393667850154,0.9434621492320694,0.9425988688919501
7,0.1814087048716843,0.94775,0.9474364255140297,0.94733857941432,0.9473817697200142,0.15214310179333598,0.9558,0.9557615390986429,0.9555138549317735,0.9555386482389411
8,0.1672738101175676,0.9522833333333334,0.9519871115268638,0.9520111994374915,0.9519945077458278,0.16910916782086924,0.9482,0.9490215099250516,0.9482314704129097,0.9481195350223468
9,0.16463996024119357,0.9520833333333333,0.9517587228575481,0.9517248201763449,0.9517397056514361,0.180653255748988,0.9488,0.9500283589251397,0.9495529898213702,0.9491396566557617
10,0.1709305058306704,0.95075,0.9504173541845237,0.9504365048560149,0.9504244998262334,0.16009351448639453,0.9561,0.9567678111632064,0.9556950553775698,0.9560224891837497
