epoch,train_loss,train_acc,train_precision,train_recall,train_f1,test_loss,test_acc,test_precision,test_recall,test_f1
1,1.8637979784245684,0.09915,0.009915,0.1,0.018041213665104854,1.8626914616603,0.1009,0.01009,0.1,0.0183304568989009
2,1.8610062535637732,0.09915,0.009915,0.1,0.018041213665104854,1.8597403992513182,0.1009,0.01009,0.1,0.0183304568989009
3,1.8580820358384138,0.10036666666666667,0.18218210637374704,0.1011499098703095,0.02042503338536382,1.8565716022139143,0.1202,0.1946010797248671,0.1178858707475674,0.049950249517842424
4,1.854823275923983,0.17445,0.15524392036534804,0.16723088545230164,0.08944509297009333,1.852863673191921,0.2132,0.15224839651820482,0.19981532958813636,0.12285598983507033
5,1.850650756725116,0.20561666666666667,0.1451320309398477,0.19383430652505165,0.1313459091927969,1.8478239478578993,0.2013,0.24165236469697193,0.18880334932741275,0.12965222446052865
6,1.8442765046030218,0.20518333333333333,0.2301894659173888,0.1935308877526212,0.12332530070537732,1.8394925677852265,0.234,0.2200030712806753,0.22227665826898907,0.14101871281412473
7,1.8336000999153803,0.2504166666666667,0.37393468775800165,0.23873981990668353,0.15403356758673525,1.8254736563202683,0.2926,0.2587779204346772,0.28138606159029944,0.19511327794578762
8,1.8146417170191116,0.3219666666666667,0.5173378357896901,0.3090738660428306,0.22266694175537646,1.7992504318808293,0.364,0.5116386777658801,0.3522666195158367,0.26012525914429535
9,1.7740580725517354,0.3958,0.5070172872223441,0.38227021977169456,0.3039590142160851,1.735042409532389,0.4169,0.4927856597559532,0.40577096625016484,0.3404492405912935
10,1.6494260380771368,0.45313333333333333,0.536431810459347,0.44111722684243293,0.3859327499170574,1.5030027552015464,0.5042,0.5727323499961907,0.49463915375323114,0.4351708190155457
