epoch,train_loss,train_acc,train_precision,train_recall,train_f1,test_loss,test_acc,test_precision,test_recall,test_f1
1,0.027063036331382424,0.9284833333333333,0.9277825718888281,0.9277397199945773,0.9277326050788787,0.004350300608890917,0.962,0.9625127536969474,0.9611416253446864,0.9615226954181134
2,0.003613228083973743,0.9628333333333333,0.9625472858182069,0.9625560746515818,0.962548593817156,0.023383646615181945,0.9235,0.9251332827587303,0.9217472650417928,0.922164768752291
3,0.0038701256254348995,0.9584833333333334,0.9582215020789138,0.9582342705339034,0.958224492407903,0.0026303086758237893,0.9691,0.9692756472445181,0.9690460351919745,0.9689798398208491
4,0.00782286027499997,0.9508333333333333,0.9504320495766528,0.9504326987542198,0.9504287979846913,0.03204487973188128,0.9188,0.9235922394013265,0.9194320177122283,0.9191323139377234
5,0.006369876258348547,0.9548,0.9544988608986035,0.9545908693909182,0.9545394920283943,0.005380578261413305,0.9603,0.9609372220598672,0.9605176876709629,0.9602729445639412
6,0.002833350186517352,0.96305,0.9628257631552384,0.9628662848147643,0.9628395135524161,0.003986124352996713,0.9654,0.9652838381322185,0.9653561570539507,0.9651624899459247
7,0.008533263952997208,0.9532,0.9528452800731341,0.9529232212557532,0.9528795644062157,0.018953749737311204,0.9298,0.9306585418166756,0.9293003765135044,0.9289498454531204
8,0.007528943257722261,0.94795,0.9475786614117083,0.9475567518911652,0.947564773518398,0.006148987679338531,0.9522,0.9530446886575875,0.9515562425783595,0.9515933304558709
9,0.0036437167343854387,0.96,0.9597288897518379,0.9597391919491824,0.9597326586450465,0.003245915974895279,0.9671,0.9671531253210341,0.9667873574951091,0.9668243623516479
10,0.003298445436368579,0.9621,0.9619117134613993,0.9618764704826879,0.9618918650218646,0.0027756323571845733,0.9681,0.9680875198367487,0.9678640825265041,0.9679058096646896
