epoch,train_loss,train_acc,train_precision,train_recall,train_f1,test_loss,test_acc,test_precision,test_recall,test_f1
1,1.1553073264261298,0.5555333333333333,0.6537015500833001,0.5460224000308417,0.5445275404090474,0.24037469857057947,0.8074,0.8132886032263652,0.8020589218066136,0.7994928847097478
2,0.13781441672484696,0.8426166666666667,0.8432124278593738,0.8393610112540435,0.8393344400454623,0.08983587362109476,0.8689,0.8681921727035566,0.8665970604878467,0.8665906612693348
3,0.07075630152411362,0.8745166666666667,0.8736894726817341,0.8724718199184105,0.8725709774619232,0.061084262061282806,0.8861,0.884886292833271,0.8843188160038045,0.8842053990634742
4,0.05166080957556616,0.8876666666666667,0.8865729261728136,0.8859293934685898,0.8859493384140128,0.04896659299265593,0.8945,0.8932537899041748,0.893107727206335,0.8929314723177493
5,0.042247883080671636,0.8948,0.893654796180846,0.8932400956219408,0.8932426102951971,0.04183468054093949,0.9019,0.9009279531569012,0.9007286396519862,0.9005679525434809
6,0.036482116780372886,0.89975,0.8986967355917235,0.8983564609703345,0.8983686731431975,0.036702836350023235,0.9071,0.9061935837502888,0.9059034320888835,0.9058295835886365
7,0.03197393898538419,0.9043333333333333,0.9033148000243136,0.9030396319124246,0.9030547433296373,0.03303390502613438,0.9102,0.9091721056837441,0.9091230792823761,0.9089784491738427
8,0.029283991901016337,0.9079166666666667,0.9069545790429798,0.9066970684117912,0.9067223726538003,0.03009955868107166,0.915,0.9143173167399938,0.9139896309901271,0.9139451748261991
9,0.026349627764707905,0.9107833333333333,0.9098784542105749,0.909633441340269,0.9096645905318039,0.027698964669910828,0.9183,0.9175071749359665,0.9174547095650247,0.9173208809750918
10,0.02429972442429461,0.9130333333333334,0.91215256873648,0.9119175297938098,0.9119473196776244,0.02578278693443188,0.9194,0.9186215491436005,0.9186036499155825,0.9184806241230531
