batch_size,learning_rate,optimizer,activation,loss_fn,accuracy,precision,recall,f1
32,0.01,SGD,ReLU,CrossEntropy,0.974,0.9742183875532853,0.9738455590792124,0.9738670326417246
32,0.01,SGD,ReLU,Focal,0.9454,0.9448416761504308,0.9450338428276309,0.9446828850676507
32,0.01,SGD,Tanh,CrossEntropy,0.9777,0.9776571033195504,0.9776395950794485,0.9776128125406831
32,0.01,SGD,Tanh,Focal,0.9379,0.9376535585705212,0.9373991784880996,0.9373880155439306
32,0.01,Adam,ReLU,CrossEntropy,0.9839,0.984019258603573,0.9836865569874191,0.9838008060744681
32,0.01,Adam,ReLU,Focal,0.9632,0.963456988536344,0.9629847562962708,0.9629971821670494
32,0.01,Adam,Tanh,CrossEntropy,0.9507,0.9509999930650977,0.9502800732480976,0.9504699418564335
32,0.01,Adam,Tanh,Focal,0.9344,0.935149768843889,0.9333411229753237,0.9338275960906264
32,0.001,SGD,ReLU,CrossEntropy,0.7973,0.7952333434597523,0.7927720919069622,0.7915946565523949
32,0.001,SGD,ReLU,Focal,0.7998,0.7983775273358621,0.7945317395238823,0.7930429583245934
32,0.001,SGD,Tanh,CrossEntropy,0.8805,0.8793035341205485,0.8784464031376915,0.8782339612189748
32,0.001,SGD,Tanh,Focal,0.8599,0.8583771257982772,0.8571022379042503,0.8567836789316081
32,0.001,Adam,ReLU,CrossEntropy,0.9898,0.9898597132292579,0.9896329094995044,0.9897232913832257
32,0.001,Adam,ReLU,Focal,0.988,0.9879376297176437,0.9879991647972272,0.9879301383761743
32,0.001,Adam,Tanh,CrossEntropy,0.986,0.9859912607770122,0.9859156800674642,0.985915249573039
32,0.001,Adam,Tanh,Focal,0.9813,0.9813970773248867,0.981068341102519,0.9811543451280113
64,0.01,SGD,ReLU,CrossEntropy,0.9644,0.964388762613089,0.9641841220504865,0.9641524370381411
64,0.01,SGD,ReLU,Focal,0.9258,0.9250126332446558,0.9249300310240061,0.9247580216973891
64,0.01,SGD,Tanh,CrossEntropy,0.9605,0.9602827798217571,0.9602045861241523,0.9602062413681354
64,0.01,SGD,Tanh,Focal,0.9191,0.9183258939006047,0.9183559137062728,0.9181836680779341
64,0.01,Adam,ReLU,CrossEntropy,0.9811,0.9813405721710169,0.9809968455821585,0.9810622801581832
64,0.01,Adam,ReLU,Focal,0.981,0.9809506935790594,0.9809325337000987,0.9808887928248481
64,0.01,Adam,Tanh,CrossEntropy,0.9684,0.9685155618094108,0.9681935527807687,0.9682708696019805
64,0.01,Adam,Tanh,Focal,0.913,0.915151313944634,0.9121248460873528,0.9117877037607098
64,0.001,SGD,ReLU,CrossEntropy,0.3843,0.4743608423458042,0.37179898012305357,0.3106437912311884
64,0.001,SGD,ReLU,Focal,0.1526,0.11750764238165741,0.1380488885464422,0.058795318796937925
64,0.001,SGD,Tanh,CrossEntropy,0.7227,0.7548155265520669,0.7125433154424128,0.6855912072498922
64,0.001,SGD,Tanh,Focal,0.7677,0.7674538477572617,0.7608248741384492,0.7531136536039454
64,0.001,Adam,ReLU,CrossEntropy,0.9872,0.9873712968506148,0.9869742164367891,0.9871243914280748
64,0.001,Adam,ReLU,Focal,0.9821,0.9823439578174569,0.9819502787835616,0.9819936163006352
64,0.001,Adam,Tanh,CrossEntropy,0.9856,0.9856014824972832,0.9854370677615801,0.985498706585196
64,0.001,Adam,Tanh,Focal,0.9784,0.9785076167612203,0.9782868068228797,0.9782969349690956
