epoch,train_loss,train_acc,train_precision,train_recall,train_f1,test_loss,test_acc,test_precision,test_recall,test_f1
1,0.3431193491281159,0.9016666666666666,0.9012236625502329,0.9003043491119497,0.9004528081550307,0.123073353360935,0.9613,0.9610696665944267,0.961138073796079,0.9610139615809086
2,0.11859701834231821,0.9652833333333334,0.9650614264815414,0.9651210894070491,0.9650876664910699,0.07440787843268389,0.9764,0.9766610988202477,0.9761279776825681,0.9763281037565836
3,0.08258614317873425,0.9752333333333333,0.9750904593697876,0.9751144013633712,0.9750996486107859,0.05943786395212434,0.9816,0.9817535903452997,0.9812850287790014,0.9814644784873746
4,0.06682479911015185,0.9803,0.9801962036189004,0.980182893902996,0.9801872695123588,0.05505837775729033,0.9811,0.9812204884535811,0.9809412668018676,0.9809849637621723
5,0.05770251274616249,0.9826666666666667,0.9825940748159627,0.9826035748074394,0.9825971412393322,0.05067990002695806,0.9842,0.9841518745667743,0.984154506031957,0.9841225406133296
6,0.04653019436509974,0.9861166666666666,0.9860395926284357,0.9860223386928405,0.9860300533854989,0.04698901432190034,0.9847,0.9847521809458566,0.9844906928824289,0.9845793464477908
7,0.044179146906717426,0.9864833333333334,0.986418349989313,0.9864280287780016,0.986422409545338,0.04370420955319498,0.9864,0.9863668887599195,0.9865290002623543,0.9864215289597793
8,0.03867431506025555,0.9884,0.9883356788463523,0.9883344551631048,0.9883345239814624,0.04412865018603506,0.9854,0.9853848991267599,0.9853937113163322,0.9853516135997721
9,0.03629689002122883,0.98835,0.9882985163758233,0.9883182700886518,0.9883078399931309,0.04484596900378871,0.986,0.9861370401083527,0.9857478342464994,0.9859219142568861
10,0.03391968467069774,0.9898166666666667,0.9897624561644764,0.9897492556268999,0.989755253998087,0.04074930349201932,0.9871,0.9870707225801402,0.9870962298070873,0.9870716468877172
